Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Agent_4_Max,Agent_4_Max_Unclipped,Agent_4_Sum,Agent_4_Sum_Unclipped,Agent_5_Max,Agent_5_Max_Unclipped,Agent_5_Sum,Agent_5_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness,Number_of_Possible_Allocations,Number_of_Envy_Free_Allocations,Max_Nash_Welfare,Max_Utilitarian_Welfare,Max_Egalitarian_Welfare,LLM_Nash_Welfare,LLM_Utilitarian_Welfare,LLM_Egalitarian_Welfare
11,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_11.txt,100.0,100.0,174.0,-29.0,0.0,0.0,0.0,-594.0,0.0,0.0,0.0,-594.0,29.0,29.0,39.0,-444.0,202.0,202.0,441.0,426.0,202.0,202.0,654.0,-1235.0,False,78125.0,0.0,16023719712.0,601.0,91.0,0.0,594.0,0.0
12,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_12.txt,35.0,35.0,42.0,-47.0,79.0,79.0,159.0,154.0,4.0,4.0,4.0,-158.0,0.0,-2.0,0.0,-262.0,6.0,6.0,6.0,-192.0,79.0,79.0,211.0,-505.0,False,78125.0,0.0,17232137280.0,583.0,89.0,6821597056.0,486.0,74.0
13,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_13.txt,34.0,34.0,34.0,-187.0,10.0,10.0,10.0,-182.0,79.0,79.0,279.0,279.0,26.0,26.0,26.0,-156.0,93.0,93.0,148.0,124.0,93.0,93.0,497.0,-122.0,False,78125.0,0.0,13042656000.0,608.0,90.0,1115994240.0,392.0,17.0
14,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_14.txt,0.0,-67.0,0.0,-613.0,3.0,3.0,3.0,-388.0,134.0,134.0,348.0,268.0,78.0,78.0,196.0,85.0,23.0,23.0,23.0,-476.0,134.0,134.0,570.0,-1124.0,False,78125.0,0.0,16425744720.0,613.0,95.0,0.0,613.0,0.0
15,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_15.txt,69.0,69.0,69.0,-34.0,0.0,-29.0,0.0,-343.0,50.0,50.0,50.0,-111.0,0.0,-14.0,0.0,-302.0,0.0,-56.0,0.0,-360.0,69.0,69.0,119.0,-1150.0,False,78125.0,0.0,11280709440.0,553.0,81.0,10584901888.0,550.0,62.0
16,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_16.txt,62.0,62.0,124.0,57.0,5.0,5.0,5.0,-200.0,54.0,54.0,54.0,-151.0,0.0,-34.0,0.0,-325.0,19.0,19.0,26.0,-70.0,62.0,62.0,209.0,-689.0,False,78125.0,0.0,14687325297.0,563.0,87.0,6177417840.0,519.0,33.0
17,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_17.txt,84.0,84.0,168.0,9.0,117.0,117.0,124.0,100.0,59.0,59.0,59.0,-273.0,73.0,73.0,73.0,-314.0,0.0,-87.0,0.0,-602.0,117.0,117.0,424.0,-1080.0,False,78125.0,0.0,14961025296.0,606.0,88.0,0.0,602.0,0.0
18,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_18.txt,54.0,54.0,67.0,-9.0,0.0,-36.0,0.0,-392.0,0.0,-7.0,0.0,-297.0,1.0,1.0,1.0,-380.0,40.0,40.0,40.0,-51.0,54.0,54.0,108.0,-1129.0,False,78125.0,0.0,22081252050.0,634.0,91.0,22081252050.0,634.0,71.0
19,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_19.txt,110.0,110.0,115.0,-34.0,0.0,-77.0,0.0,-587.0,45.0,45.0,45.0,-377.0,81.0,81.0,81.0,-84.0,72.0,72.0,127.0,-42.0,110.0,110.0,368.0,-1124.0,False,78125.0,0.0,16316601120.0,587.0,86.0,0.0,587.0,0.0
20,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_20.txt,22.0,22.0,22.0,-118.0,36.0,36.0,75.0,45.0,12.0,12.0,12.0,-214.0,0.0,-39.0,0.0,-263.0,0.0,-4.0,0.0,-327.0,36.0,36.0,109.0,-877.0,False,78125.0,1.0,10885512384.0,559.0,91.0,6624000000.0,502.0,46.0
21,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_21.txt,52.0,52.0,52.0,-148.0,0.0,-36.0,0.0,-336.0,0.0,-14.0,0.0,-400.0,0.0,-20.0,0.0,-345.0,7.0,7.0,7.0,-173.0,52.0,52.0,59.0,-1402.0,False,78125.0,0.0,17323844328.0,613.0,90.0,14443531200.0,595.0,58.0
22,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_22.txt,33.0,33.0,33.0,-106.0,61.0,61.0,61.0,-4.0,0.0,-1.0,0.0,-293.0,0.0,-5.0,0.0,-339.0,0.0,-38.0,0.0,-354.0,61.0,61.0,94.0,-1096.0,False,78125.0,1.0,12288054240.0,548.0,82.0,9103180800.0,528.0,59.0
23,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_23.txt,0.0,-58.0,0.0,-553.0,59.0,59.0,152.0,106.0,37.0,37.0,37.0,-424.0,95.0,95.0,119.0,-40.0,24.0,24.0,24.0,-274.0,95.0,95.0,332.0,-1185.0,False,78125.0,0.0,9147246570.0,553.0,79.0,0.0,553.0,0.0
24,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_24.txt,19.0,19.0,19.0,-266.0,63.0,63.0,103.0,-41.0,56.0,56.0,85.0,75.0,0.0,-11.0,0.0,-310.0,20.0,20.0,20.0,-365.0,63.0,63.0,227.0,-907.0,False,78125.0,0.0,14348568960.0,580.0,88.0,6638682240.0,521.0,51.0
25,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_25.txt,0.0,-23.0,0.0,-214.0,8.0,8.0,8.0,-166.0,0.0,-39.0,0.0,-296.0,23.0,23.0,23.0,-74.0,0.0,-4.0,0.0,-272.0,23.0,23.0,31.0,-1022.0,False,78125.0,0.0,20428685970.0,610.0,93.0,12450647430.0,540.0,87.0
26,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_26.txt,87.0,87.0,87.0,-124.0,1.0,1.0,1.0,-285.0,100.0,100.0,125.0,6.0,0.0,-83.0,0.0,-511.0,100.0,100.0,100.0,-53.0,100.0,100.0,313.0,-967.0,False,78125.0,0.0,7299736290.0,522.0,77.0,0.0,511.0,0.0
27,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_27.txt,0.0,-55.0,0.0,-356.0,0.0,-38.0,0.0,-368.0,0.0,-29.0,0.0,-254.0,24.0,24.0,24.0,-127.0,16.0,16.0,16.0,-97.0,24.0,24.0,40.0,-1202.0,False,78125.0,0.0,15337316736.0,584.0,92.0,14553228144.0,568.0,76.0
28,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_28.txt,8.0,8.0,8.0,-292.0,36.0,36.0,50.0,1.0,52.0,52.0,52.0,-184.0,62.0,62.0,85.0,-35.0,0.0,-5.0,0.0,-248.0,62.0,62.0,195.0,-758.0,False,78125.0,0.0,14498019900.0,579.0,89.0,5651942400.0,497.0,37.0
29,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_29.txt,116.0,116.0,127.0,29.0,6.0,6.0,6.0,-143.0,78.0,78.0,160.0,144.0,9.0,9.0,9.0,-254.0,24.0,24.0,24.0,-276.0,116.0,116.0,326.0,-500.0,False,78125.0,0.0,17356675336.0,609.0,89.0,2347450560.0,458.0,26.0
30,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_30.txt,11.0,11.0,21.0,-83.0,0.0,-34.0,0.0,-288.0,4.0,4.0,4.0,-215.0,0.0,-7.0,0.0,-133.0,0.0,-67.0,0.0,-332.0,11.0,11.0,25.0,-1051.0,False,78125.0,0.0,8510885460.0,515.0,77.0,8510885460.0,493.0,77.0
31,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_31.txt,0.0,-84.0,0.0,-614.0,143.0,143.0,252.0,249.0,143.0,143.0,143.0,-88.0,12.0,12.0,12.0,-388.0,4.0,4.0,4.0,-387.0,143.0,143.0,411.0,-1228.0,False,78125.0,0.0,19957628880.0,614.0,90.0,0.0,614.0,0.0
32,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_32.txt,0.0,-17.0,0.0,-162.0,0.0,-10.0,0.0,-288.0,0.0,-6.0,0.0,-315.0,0.0,-8.0,0.0,-265.0,46.0,46.0,46.0,-142.0,46.0,46.0,46.0,-1172.0,False,78125.0,1.0,19505656170.0,620.0,84.0,12437766432.0,556.0,78.0
33,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_33.txt,85.0,85.0,85.0,-46.0,145.0,145.0,145.0,60.0,96.0,96.0,107.0,-56.0,11.0,11.0,11.0,-290.0,0.0,-73.0,0.0,-528.0,145.0,145.0,348.0,-860.0,False,78125.0,0.0,8977411520.0,549.0,77.0,0.0,528.0,0.0
34,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_34.txt,11.0,11.0,11.0,-98.0,0.0,-62.0,0.0,-282.0,0.0,-6.0,0.0,-240.0,6.0,6.0,6.0,-171.0,0.0,-60.0,0.0,-313.0,11.0,11.0,17.0,-1104.0,False,78125.0,0.0,14527758720.0,564.0,86.0,14527758720.0,562.0,71.0
35,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_35.txt,6.0,6.0,6.0,-107.0,0.0,-6.0,0.0,-189.0,0.0,-10.0,0.0,-234.0,2.0,2.0,2.0,-84.0,39.0,39.0,49.0,-4.0,39.0,39.0,57.0,-618.0,False,78125.0,0.0,7503431936.0,538.0,88.0,4745688794.0,452.0,53.0
36,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_36.txt,40.0,40.0,50.0,-44.0,0.0,-17.0,0.0,-229.0,0.0,-26.0,0.0,-299.0,0.0,-14.0,0.0,-224.0,1.0,1.0,1.0,-96.0,40.0,40.0,51.0,-892.0,False,78125.0,0.0,10414277928.0,548.0,82.0,10414277928.0,528.0,67.0
37,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_37.txt,49.0,49.0,65.0,-17.0,35.0,35.0,50.0,-34.0,0.0,-6.0,0.0,-280.0,0.0,-36.0,0.0,-383.0,0.0,-60.0,0.0,-434.0,49.0,49.0,115.0,-1148.0,False,78125.0,0.0,17801776256.0,593.0,88.0,14739373728.0,589.0,68.0
38,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_38.txt,6.0,6.0,6.0,-164.0,11.0,11.0,11.0,-131.0,5.0,5.0,5.0,-337.0,0.0,-71.0,0.0,-314.0,0.0,-31.0,0.0,-458.0,11.0,11.0,22.0,-1404.0,False,78125.0,0.0,15476725264.0,598.0,94.0,15476725264.0,582.0,74.0
39,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_39.txt,22.0,22.0,22.0,-414.0,99.0,99.0,198.0,68.0,156.0,156.0,261.0,117.0,0.0,-6.0,0.0,-523.0,25.0,25.0,35.0,-307.0,156.0,156.0,516.0,-1059.0,False,78125.0,0.0,8465962050.0,560.0,81.0,0.0,523.0,0.0
40,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_40.txt,41.0,41.0,103.0,103.0,104.0,104.0,138.0,72.0,11.0,11.0,11.0,-155.0,52.0,52.0,52.0,-168.0,3.0,3.0,3.0,-149.0,104.0,104.0,307.0,-297.0,False,78125.0,0.0,10327275000.0,546.0,82.0,1137600000.0,397.0,15.0
41,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_41.txt,32.0,32.0,61.0,35.0,0.0,-23.0,0.0,-201.0,0.0,0.0,0.0,-155.0,1.0,1.0,1.0,-125.0,48.0,48.0,84.0,43.0,48.0,48.0,146.0,-403.0,False,78125.0,0.0,2679114240.0,576.0,62.0,802935216.0,395.0,18.0
42,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_42.txt,8.0,8.0,8.0,-194.0,0.0,-34.0,0.0,-282.0,0.0,-53.0,0.0,-382.0,69.0,69.0,76.0,-9.0,0.0,-37.0,0.0,-353.0,69.0,69.0,84.0,-1220.0,False,78125.0,0.0,14066820240.0,561.0,85.0,13487288320.0,561.0,76.0
43,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_43.txt,31.0,31.0,69.0,63.0,8.0,8.0,8.0,-147.0,0.0,-10.0,0.0,-150.0,0.0,-20.0,0.0,-219.0,33.0,33.0,33.0,-46.0,33.0,33.0,110.0,-499.0,False,78125.0,0.0,11512512000.0,552.0,80.0,6295592160.0,466.0,72.0
44,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_44.txt,0.0,-97.0,0.0,-522.0,55.0,55.0,56.0,-27.0,39.0,39.0,39.0,-266.0,33.0,33.0,33.0,-214.0,25.0,25.0,25.0,-64.0,55.0,55.0,153.0,-1093.0,False,78125.0,0.0,7426528065.0,562.0,71.0,0.0,522.0,0.0
45,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_45.txt,68.0,68.0,68.0,-254.0,24.0,24.0,24.0,-326.0,119.0,119.0,147.0,-73.0,187.0,187.0,337.0,307.0,0.0,-67.0,0.0,-557.0,187.0,187.0,576.0,-903.0,False,78125.0,0.0,12530292966.0,587.0,91.0,0.0,557.0,0.0
46,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_46.txt,10.0,10.0,10.0,-135.0,7.0,7.0,7.0,-194.0,0.0,-57.0,0.0,-305.0,0.0,-61.0,0.0,-350.0,36.0,36.0,36.0,-111.0,36.0,36.0,53.0,-1095.0,False,78125.0,0.0,10085715120.0,517.0,85.0,8692970400.0,514.0,60.0
47,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_47.txt,2.0,2.0,2.0,-196.0,24.0,24.0,31.0,-131.0,0.0,-3.0,0.0,-298.0,9.0,9.0,9.0,-194.0,0.0,-4.0,0.0,-322.0,24.0,24.0,42.0,-1141.0,False,78125.0,0.0,10170410250.0,573.0,91.0,9876490260.0,537.0,59.0
48,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_48.txt,15.0,15.0,23.0,-95.0,25.0,25.0,25.0,-216.0,0.0,-37.0,0.0,-304.0,0.0,-25.0,0.0,-266.0,0.0,0.0,0.0,-14.0,25.0,25.0,48.0,-895.0,False,78125.0,0.0,9253273600.0,554.0,76.0,5858279424.0,496.0,51.0
49,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_49.txt,34.0,34.0,34.0,-103.0,98.0,98.0,161.0,139.0,13.0,13.0,13.0,-193.0,11.0,11.0,11.0,-157.0,7.0,7.0,7.0,-165.0,98.0,98.0,226.0,-479.0,False,78125.0,0.0,11380740000.0,581.0,79.0,1598681700.0,431.0,18.0
50,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_50.txt,0.0,-46.0,0.0,-315.0,31.0,31.0,61.0,6.0,34.0,34.0,34.0,-253.0,25.0,25.0,47.0,-80.0,0.0,-60.0,0.0,-415.0,34.0,34.0,142.0,-1057.0,False,78125.0,0.0,21864047040.0,617.0,93.0,15394366260.0,581.0,65.0
51,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_51.txt,0.0,-12.0,0.0,-152.0,58.0,58.0,74.0,39.0,12.0,12.0,14.0,-94.0,0.0,-17.0,0.0,-211.0,6.0,6.0,6.0,-91.0,58.0,58.0,94.0,-509.0,False,78125.0,0.0,8627121750.0,543.0,84.0,6017420640.0,475.0,61.0
52,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_52.txt,52.0,52.0,86.0,63.0,0.0,-28.0,0.0,-212.0,0.0,-26.0,0.0,-302.0,0.0,-15.0,0.0,-146.0,9.0,9.0,9.0,-33.0,52.0,52.0,95.0,-630.0,False,78125.0,1.0,21227202192.0,634.0,97.0,10020768912.0,503.0,88.0
53,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_53.txt,22.0,22.0,22.0,-58.0,0.0,-4.0,0.0,-266.0,1.0,1.0,1.0,-70.0,0.0,-2.0,0.0,-268.0,0.0,-43.0,0.0,-361.0,22.0,22.0,23.0,-1023.0,False,78125.0,0.0,14251748000.0,578.0,89.0,14251748000.0,560.0,76.0
54,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_54.txt,14.0,14.0,14.0,-159.0,2.0,2.0,2.0,-145.0,68.0,68.0,68.0,-54.0,0.0,-14.0,0.0,-313.0,0.0,-15.0,0.0,-196.0,68.0,68.0,84.0,-867.0,False,78125.0,0.0,15008799960.0,586.0,92.0,10243711170.0,516.0,77.0
55,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_55.txt,51.0,51.0,66.0,52.0,0.0,-24.0,0.0,-277.0,0.0,-10.0,0.0,-230.0,0.0,-27.0,0.0,-321.0,0.0,-11.0,0.0,-310.0,51.0,51.0,66.0,-1086.0,False,78125.0,0.0,20694347520.0,609.0,88.0,11054123520.0,534.0,85.0
56,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_56.txt,69.0,69.0,69.0,-128.0,7.0,7.0,7.0,-231.0,87.0,87.0,124.0,-1.0,87.0,87.0,87.0,-85.0,0.0,-4.0,0.0,-187.0,87.0,87.0,287.0,-632.0,False,78125.0,0.0,14899985100.0,582.0,89.0,3626663040.0,511.0,20.0
57,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_57.txt,63.0,63.0,73.0,33.0,29.0,29.0,29.0,-71.0,4.0,4.0,4.0,-179.0,0.0,-10.0,0.0,-215.0,0.0,-25.0,0.0,-323.0,63.0,63.0,106.0,-755.0,False,78125.0,0.0,13379541120.0,600.0,86.0,9424521216.0,530.0,66.0
58,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_58.txt,113.0,113.0,185.0,3.0,144.0,144.0,215.0,-7.0,116.0,116.0,206.0,34.0,13.0,13.0,13.0,-376.0,0.0,-22.0,0.0,-497.0,144.0,144.0,619.0,-843.0,False,78125.0,0.0,15239116816.0,575.0,88.0,0.0,497.0,0.0
59,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_59.txt,65.0,65.0,65.0,-317.0,44.0,44.0,44.0,-150.0,122.0,122.0,176.0,-6.0,70.0,70.0,73.0,-125.0,0.0,-47.0,0.0,-556.0,122.0,122.0,358.0,-1154.0,False,78125.0,0.0,11552961420.0,586.0,77.0,0.0,556.0,0.0
60,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_60.txt,85.0,85.0,136.0,6.0,46.0,46.0,46.0,-147.0,68.0,68.0,68.0,-170.0,96.0,96.0,160.0,157.0,21.0,21.0,21.0,-148.0,96.0,96.0,431.0,-302.0,False,78125.0,0.0,9125608800.0,568.0,77.0,663505920.0,429.0,8.0
61,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_61.txt,145.0,145.0,256.0,210.0,110.0,110.0,179.0,141.0,79.0,79.0,79.0,-150.0,51.0,51.0,100.0,16.0,0.0,-58.0,0.0,-413.0,145.0,145.0,614.0,-196.0,False,78125.0,0.0,15828284520.0,574.0,86.0,0.0,413.0,0.0
62,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_62.txt,0.0,-51.0,0.0,-382.0,0.0,-30.0,0.0,-375.0,3.0,3.0,6.0,-49.0,19.0,19.0,33.0,5.0,0.0,-37.0,0.0,-350.0,19.0,19.0,39.0,-1151.0,False,78125.0,0.0,22441361280.0,614.0,92.0,21199714560.0,608.0,89.0
63,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_63.txt,51.0,51.0,51.0,-22.0,89.0,89.0,89.0,-74.0,0.0,-12.0,0.0,-350.0,0.0,-52.0,0.0,-370.0,0.0,-15.0,0.0,-366.0,89.0,89.0,140.0,-1182.0,False,78125.0,0.0,12876623760.0,589.0,84.0,10179012480.0,552.0,60.0
64,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_64.txt,0.0,-10.0,0.0,-145.0,9.0,9.0,15.0,-37.0,0.0,-17.0,0.0,-288.0,0.0,-27.0,0.0,-378.0,0.0,-36.0,0.0,-281.0,9.0,9.0,15.0,-1129.0,False,78125.0,0.0,17816062880.0,578.0,88.0,16361690400.0,577.0,83.0
65,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_65.txt,0.0,-26.0,0.0,-337.0,0.0,-41.0,0.0,-346.0,8.0,8.0,8.0,-181.0,4.0,4.0,4.0,-233.0,78.0,78.0,153.0,153.0,78.0,78.0,165.0,-944.0,False,78125.0,0.0,5993863260.0,553.0,77.0,3854065600.0,486.0,41.0
66,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_66.txt,0.0,0.0,0.0,-98.0,54.0,54.0,61.0,-78.0,0.0,-15.0,0.0,-130.0,6.0,6.0,6.0,-137.0,0.0,-16.0,0.0,-165.0,54.0,54.0,67.0,-608.0,False,78125.0,0.0,8830012500.0,531.0,85.0,2662450560.0,407.0,42.0
67,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_67.txt,58.0,58.0,66.0,-31.0,70.0,70.0,70.0,-192.0,139.0,139.0,139.0,-66.0,38.0,38.0,38.0,-200.0,0.0,-52.0,0.0,-408.0,139.0,139.0,313.0,-897.0,False,78125.0,0.0,13897594368.0,557.0,87.0,5179977216.0,530.0,24.0
68,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_68.txt,0.0,-39.0,0.0,-293.0,0.0,-34.0,0.0,-339.0,0.0,-18.0,0.0,-346.0,0.0,-4.0,0.0,-121.0,0.0,-8.0,0.0,-113.0,0.0,-4.0,0.0,-1212.0,True,78125.0,1.0,17317738368.0,572.0,87.0,17317738368.0,572.0,87.0
69,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_69.txt,0.0,-17.0,0.0,-298.0,0.0,-55.0,0.0,-323.0,23.0,23.0,23.0,-138.0,0.0,-7.0,0.0,-217.0,0.0,-7.0,0.0,-140.0,23.0,23.0,23.0,-1116.0,False,78125.0,1.0,19781481600.0,594.0,97.0,19781481600.0,590.0,90.0
70,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_70.txt,22.0,22.0,32.0,-53.0,0.0,-8.0,0.0,-234.0,0.0,-1.0,0.0,-198.0,18.0,18.0,30.0,-97.0,0.0,-27.0,0.0,-263.0,22.0,22.0,62.0,-845.0,False,78125.0,0.0,7817036220.0,518.0,75.0,5637537360.0,468.0,69.0
71,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_71.txt,103.0,103.0,181.0,153.0,0.0,-26.0,0.0,-312.0,0.0,-13.0,0.0,-348.0,0.0,-10.0,0.0,-276.0,0.0,-4.0,0.0,-234.0,103.0,103.0,181.0,-1017.0,False,78125.0,0.0,12056204160.0,566.0,91.0,9558195192.0,539.0,68.0
